Event Type,Timestamp,Details,Severity
File Created,Thu May 21 21:55:33 2026,invoice.pdf.exe,LOW
File Modified,Thu May 21 21:55:33 2026,invoice.pdf.exe,LOW
Browser Visit,2026-06-10 12:23:02,https://leetcode.com/progress/,LOW
Browser Visit,2026-06-10 12:23:02,https://leetcode.com/progress,LOW
Browser Visit,2026-06-10 12:22:57,https://leetcode.com/problemset/,LOW
Browser Visit,2026-06-10 12:13:20,https://gemini.google.com/search?hl=en-IN,LOW
Browser Visit,2026-06-10 12:12:59,https://gemini.google.com/app?hl=en-IN,LOW
Download,2026-06-05 14:01:00,E:\Downloads\ambikasharma__resume.pdf,LOW
Download,2026-06-05 13:57:39,E:\Downloads\ambikasharma__resume.pdf,LOW
Download,2026-06-05 11:34:42,E:\Downloads\ambikasharma__resume (1).pdf,LOW
Download,2026-06-05 09:54:26,E:\Downloads\ambikasharma__resume.pdf,LOW
Download,2026-06-05 09:53:16,E:\Downloads\ambikasharma_cybersecurity_resume (1).pdf,LOW
